Id,Weekly_Sales
1_3_2013-06-28,7711.619400000005
1_3_2013-07-05,8304.923700000008
1_3_2013-07-12,13337.019600000021
1_3_2013-07-19,8338.994600000007
1_3_2013-07-26,15801.739899999977
1_4_2012-11-02,37755.618199999975
1_4_2012-11-09,37306.555800000024
1_4_2012-11-16,37834.7445
1_4_2012-11-23,45207.11050000001
1_4_2012-11-30,39191.79579999999
1_4_2012-12-07,41177.47560000003
1_4_2012-12-14,40869.0607
1_4_2012-12-21,42189.82600000003
1_4_2012-12-28,36981.684200000025
1_4_2013-01-04,37298.51849999996
1_4_2013-01-11,37917.53559999995
1_4_2013-01-18,34970.1854
1_4_2013-01-25,34342.32170000004
1_4_2013-02-01,37141.64809999998
1_4_2013-02-08,39718.5833
1_4_2013-02-15,39344.1171
1_4_2013-02-22,39200.97009999999
1_4_2013-03-01,37557.200499999984
1_4_2013-03-08,36661.26069999999
1_4_2013-03-15,37515.788899999956
1_4_2013-03-22,38345.75969999994
1_4_2013-03-29,37592.57399999999
1_4_2013-04-05,38753.9885
1_4_2013-04-12,37964.77599999998
1_4_2013-04-19,37026.63369999997
1_4_2013-04-26,36374.71089999998
1_4_2013-05-03,36075.545999999995
1_4_2013-05-10,38583.13549999998
1_4_2013-05-17,40786.129999999976
1_4_2013-05-24,39674.067199999954
1_4_2013-05-31,37795.570600000014
1_4_2013-06-07,39159.998899999984
1_4_2013-06-14,39553.51569999995
1_4_2013-06-21,40826.86709999997
1_4_2013-06-28,39959.215599999974
1_4_2013-07-05,39009.57219999999
1_4_2013-07-12,38117.12439999998
1_4_2013-07-19,39785.4708
1_4_2013-07-26,37705.58000000003
1_5_2012-11-02,30790.12129999998
1_5_2012-11-09,29654.684599999986
1_5_2012-11-16,28815.73860000001
1_5_2012-11-23,72888.01680000008
1_5_2012-11-30,28160.164300000015
1_5_2012-12-07,49434.52269999998
1_5_2012-12-14,43838.32219999998
1_5_2012-12-21,61314.997700000014
1_5_2012-12-28,34606.940799999946
1_5_2013-01-04,21813.875800000016
1_5_2013-01-11,22337.51330000002
1_5_2013-01-18,21258.244299999984
1_5_2013-01-25,20991.447999999975
1_5_2013-02-01,30381.498800000016
1_5_2013-02-08,35893.73160000003
1_5_2013-02-15,33078.66460000001
1_5_2013-02-22,30481.30620000002
1_5_2013-03-01,28846.90479999999
1_5_2013-03-08,31585.308899999996
1_5_2013-03-15,25737.951500000003
1_5_2013-03-22,26969.478100000015
1_5_2013-03-29,32627.0905
1_5_2013-04-05,26803.09809999999
1_5_2013-04-12,26601.066299999984
1_5_2013-04-19,21747.93309999999
1_5_2013-04-26,23895.44390000001
1_5_2013-05-03,17001.727800000008
1_5_2013-05-10,22025.24210000001
1_5_2013-05-17,25185.04400000001
1_5_2013-05-24,21741.737500000003
1_5_2013-05-31,18726.194499999987
1_5_2013-06-07,22826.631000000016
1_5_2013-06-14,24685.780300000017
1_5_2013-06-21,24432.5125
1_5_2013-06-28,24190.5784
1_5_2013-07-05,22392.661600000025
1_5_2013-07-12,21089.616399999988
1_5_2013-07-19,22240.26370000002
1_5_2013-07-26,17402.746899999984
1_6_2012-11-02,4240.6133
1_6_2012-11-09,3389.7103999999977
1_6_2012-11-16,3659.3401999999983
1_6_2012-11-23,17786.234200000006
1_6_2012-11-30,3942.1892000000016
1_6_2012-12-07,10567.95000000001
1_6_2012-12-14,10190.1842
1_6_2012-12-21,15847.875599999988
1_6_2012-12-28,7424.747199999992
1_6_2013-01-04,2747.288199999999
1_6_2013-01-11,3014.4063000000024
1_6_2013-01-18,2603.3342999999977
1_6_2013-01-25,1957.116099999997
1_6_2013-02-01,4321.6933
1_6_2013-02-08,7622.405599999994
1_6_2013-02-15,4431.184300000001
1_6_2013-02-22,4481.742400000002
1_6_2013-03-01,4484.462699999998
1_6_2013-03-08,5011.707100000001
1_6_2013-03-15,4298.352699999994
1_6_2013-03-22,4515.080800000001
1_6_2013-03-29,5507.9983999999995
1_6_2013-04-05,4120.188499999997
1_6_2013-04-12,3819.404699999998
1_6_2013-04-19,4151.5016000000005
1_6_2013-04-26,3375.506899999999
1_6_2013-05-03,4898.605500000006
1_6_2013-05-10,5644.195300000006
1_6_2013-05-17,5406.685000000002
1_6_2013-05-24,4490.108299999995
1_6_2013-05-31,5048.506099999993
1_6_2013-06-07,3775.766599999999
1_6_2013-06-14,4248.200499999995
1_6_2013-06-21,4622.638200000001
1_6_2013-06-28,3645.3681000000024
1_6_2013-07-05,4668.693099999997
1_6_2013-07-12,4381.064000000004
1_6_2013-07-19,4226.834799999998
1_6_2013-07-26,3956.712200000002
1_7_2012-11-02,26044.849000000017
1_7_2012-11-09,25723.325100000016
1_7_2012-11-16,25586.438800000018
1_7_2012-11-23,70400.22909999992
1_7_2012-11-30,27755.95090000002
1_7_2012-12-07,87549.51660000002
1_7_2012-12-14,68671.30510000006
1_7_2012-12-21,117214.78840000008
1_7_2012-12-28,37579.117099999974
1_7_2013-01-04,11199.33990000001
1_7_2013-01-11,10918.493299999998
1_7_2013-01-18,10870.833299999998
1_7_2013-01-25,11198.885300000007
1_7_2013-02-01,19210.261799999993
1_7_2013-02-08,20390.926700000018
1_7_2013-02-15,16825.97320000001
1_7_2013-02-22,16798.2846
1_7_2013-03-01,17912.847299999994
1_7_2013-03-08,16812.980899999995
1_7_2013-03-15,20941.763700000014
1_7_2013-03-22,19862.2321
1_7_2013-03-29,17118.81319999999
1_7_2013-04-05,21580.92919999999
1_7_2013-04-12,22304.33890000002
1_7_2013-04-19,22406.6912
1_7_2013-04-26,20499.413799999984
1_7_2013-05-03,19695.368399999996
1_7_2013-05-10,19983.611600000007
1_7_2013-05-17,24452.843000000004
1_7_2013-05-24,26860.321800000023
1_7_2013-05-31,26913.228400000044
1_7_2013-06-07,27244.385599999987
1_7_2013-06-14,26447.616099999985
1_7_2013-06-21,38684.28060000003
1_7_2013-06-28,26332.729199999994
1_7_2013-07-05,22965.26040000001
1_7_2013-07-12,22635.315500000015
1_7_2013-07-19,23867.634400000014
1_7_2013-07-26,21412.102199999983
1_8_2012-11-02,35601.974599999994
1_8_2012-11-09,35471.1504
1_8_2012-11-16,34873.30399999998
1_8_2012-11-23,33299.40110000003
1_8_2012-11-30,36117.716499999966
1_8_2012-12-07,40655.65289999998
1_8_2012-12-14,37915.259900000005
1_8_2012-12-21,40138.707199999975
1_8_2012-12-28,31901.09069999996
1_8_2013-01-04,35279.92830000002
1_8_2013-01-11,34943.964500000024
1_8_2013-01-18,35234.519200000024
1_8_2013-01-25,35173.12780000004
1_8_2013-02-01,38401.334800000026
1_8_2013-02-08,40142.53140000005
1_8_2013-02-15,38496.18250000004
1_8_2013-02-22,38604.69210000003
1_8_2013-03-01,36780.46299999999
1_8_2013-03-08,34750.157400000055
1_8_2013-03-15,35735.394900000014
1_8_2013-03-22,37875.27839999998
1_8_2013-03-29,35843.83230000002
1_8_2013-04-05,37483.58729999999
1_8_2013-04-12,36180.1773
1_8_2013-04-19,34734.738000000005
1_8_2013-04-26,35685.51699999997
1_8_2013-05-03,35954.23639999998
1_8_2013-05-10,36821.344099999995
1_8_2013-05-17,40366.42100000002
1_8_2013-05-24,38315.57470000003
1_8_2013-05-31,35985.480800000056
1_8_2013-06-07,36374.09809999999
1_8_2013-06-14,38472.44270000001
1_8_2013-06-21,38455.71080000003
1_8_2013-06-28,37532.00590000002
1_8_2013-07-05,37398.67460000001
1_8_2013-07-12,36264.33570000003
1_8_2013-07-19,36380.6817
1_8_2013-07-26,34526.02729999995
1_9_2012-11-02,39638.033199999976
1_9_2012-11-09,34272.554899999945
1_9_2012-11-16,34158.930499999966
1_9_2012-11-23,44227.9596
1_9_2012-11-30,32580.178999999982
1_9_2012-12-07,33618.42229999998
1_9_2012-12-14,30993.994900000005
1_9_2012-12-21,41881.53759999998
1_9_2012-12-28,27727.806299999993
1_9_2013-01-04,15956.507100000003
1_9_2013-01-11,17255.11470000001
1_9_2013-01-18,14145.7554
1_9_2013-01-25,14614.735000000002
1_9_2013-02-01,22427.8744
1_9_2013-02-08,21492.738000000016
1_9_2013-02-15,21397.899699999998
1_9_2013-02-22,19885.644
1_9_2013-03-01,28792.64170000002
1_9_2013-03-08,28511.560100000017
1_9_2013-03-15,33054.474800000025
1_9_2013-03-22,41124.15930000003
1_9_2013-03-29,28923.404100000014
1_9_2013-04-05,29574.144300000014
1_9_2013-04-12,32338.6842
1_9_2013-04-19,33574.06789999997
1_9_2013-04-26,30579.805899999992
1_9_2013-05-03,29286.3438
1_9_2013-05-10,33180.44869999998
1_9_2013-05-17,39358.875499999966
1_9_2013-05-24,36852.94949999999
1_9_2013-05-31,31447.19650000001
1_9_2013-06-07,32229.121599999973
1_9_2013-06-14,37606.42769999998
1_9_2013-06-21,37172.177899999966
1_9_2013-06-28,31301.07520000001
1_9_2013-07-05,31969.4181
1_9_2013-07-12,28463.893599999974
1_9_2013-07-19,31558.42830000001
1_9_2013-07-26,21582.247100000015
1_10_2012-11-02,31754.267000000003
1_10_2012-11-09,32270.767300000018
1_10_2012-11-16,30990.672699999996
1_10_2012-11-23,30575.762899999958
1_10_2012-11-30,28299.840499999984
1_10_2012-12-07,31595.324599999985
1_10_2012-12-14,30430.839599999978
1_10_2012-12-21,32171.404399999996
1_10_2012-12-28,28684.28119999998
1_10_2013-01-04,25799.289
1_10_2013-01-11,27594.275100000017
1_10_2013-01-18,24941.567099999997
1_10_2013-01-25,24107.508400000002
1_10_2013-02-01,36627.90709999998
1_10_2013-02-08,34783.826699999954
1_10_2013-02-15,35187.25639999995
1_10_2013-02-22,35797.66049999995
1_10_2013-03-01,38140.06499999996
1_10_2013-03-08,32745.171299999984
1_10_2013-03-15,32649.83190000002
1_10_2013-03-22,39792.82239999995
1_10_2013-03-29,35807.43909999996
1_10_2013-04-05,34549.65839999996
1_10_2013-04-12,32147.196399999986
1_10_2013-04-19,32485.324899999978
1_10_2013-04-26,30930.028100000014
1_10_2013-05-03,29650.56449999998
1_10_2013-05-10,32604.425600000013
1_10_2013-05-17,36452.1531
1_10_2013-05-24,34923.58680000001
1_10_2013-05-31,31300.545500000026
1_10_2013-06-07,31308.850700000014
1_10_2013-06-14,37490.45789999999
1_10_2013-06-21,35972.8286
1_10_2013-06-28,33509.04330000001
1_10_2013-07-05,34544.39849999995
1_10_2013-07-12,32891.42619999996
1_10_2013-07-19,32960.34329999998
1_10_2013-07-26,29966.40279999996
1_11_2012-11-02,27222.65850000003
1_11_2012-11-09,24857.370900000027
1_11_2012-11-16,24196.667300000005
1_11_2012-11-23,28571.153600000012
1_11_2012-11-30,24209.354199999998
1_11_2012-12-07,31309.73330000003
1_11_2012-12-14,30924.918599999994
1_11_2012-12-21,30236.096200000015
1_11_2012-12-28,23287.701300000004
1_11_2013-01-04,24545.483600000003
1_11_2013-01-11,24716.222999999987
1_11_2013-01-18,22647.752100000012
1_11_2013-01-25,19066.382800000036
1_11_2013-02-01,21153.154000000002
1_11_2013-02-08,23312.223699999988
1_11_2013-02-15,24925.201399999998
1_11_2013-02-22,23932.44019999999
1_11_2013-03-01,23401.383899999993
1_11_2013-03-08,22758.254999999986
1_11_2013-03-15,22325.086099999993
1_11_2013-03-22,24635.421599999983
1_11_2013-03-29,23073.738499999978
1_11_2013-04-05,23672.795899999983
1_11_2013-04-12,23768.648599999993
1_11_2013-04-19,23001.809799999995
1_11_2013-04-26,22647.789800000013
1_11_2013-05-03,21469.628799999995
1_11_2013-05-10,23947.600500000004
1_11_2013-05-17,25574.31050000001
1_11_2013-05-24,27611.59960000001
1_11_2013-05-31,27270.9375
1_11_2013-06-07,26485.923000000017
1_11_2013-06-14,26812.435800000025
1_11_2013-06-21,35167.8121
1_11_2013-06-28,34267.43869999993
1_11_2013-07-05,27063.697200000017
1_11_2013-07-12,27627.524199999974
1_11_2013-07-19,27005.513500000015
1_11_2013-07-26,26796.658900000017
1_12_2012-11-02,9865.667600000017
1_12_2012-11-09,10145.636700000014
1_12_2012-11-16,8863.5311
1_12_2012-11-23,8184.754899999992
1_12_2012-11-30,8463.443799999994
1_12_2012-12-07,8818.6332
1_12_2012-12-14,8027.939199999998
1_12_2012-12-21,8192.309299999995
1_12_2012-12-28,7685.408699999999
1_12_2013-01-04,7639.117199999994
1_12_2013-01-11,8282.092299999995
1_12_2013-01-18,7765.848499999997
1_12_2013-01-25,8375.809300000006
1_12_2013-02-01,10395.506700000007
1_12_2013-02-08,9761.067999999997
1_12_2013-02-15,9588.826299999992
1_12_2013-02-22,9750.690999999997
1_12_2013-03-01,10686.863800000023
1_12_2013-03-08,11397.022100000013
1_12_2013-03-15,12245.385700000017
1_12_2013-03-22,12384.9252
1_12_2013-03-29,11619.151000000014
1_12_2013-04-05,11148.282899999998
1_12_2013-04-12,11304.663800000002
1_12_2013-04-19,10836.067699999998
1_12_2013-04-26,11631.61809999998
1_12_2013-05-03,12937.987199999998
1_12_2013-05-10,11405.093000000012
1_12_2013-05-17,11960.638199999998
1_12_2013-05-24,11385.310100000017
1_12_2013-05-31,11768.124900000026
1_12_2013-06-07,10969.92410000001
1_12_2013-06-14,10845.864300000008
1_12_2013-06-21,12403.754500000003
1_12_2013-06-28,10996.456800000009
1_12_2013-07-05,10972.07070000001
1_12_2013-07-12,10280.407400000006
1_12_2013-07-19,11062.807000000008
1_12_2013-07-26,11162.277200000004
1_13_2012-11-02,39089.19150000003
1_13_2012-11-09,39118.621899999984
1_13_2012-11-16,37645.306
1_13_2012-11-23,38947.969300000026
1_13_2012-11-30,37527.154999999955
1_13_2012-12-07,38116.1246
1_13_2012-12-14,35869.540100000006
1_13_2012-12-21,36860.5716
1_13_2012-12-28,35564.86820000003
1_13_2013-01-04,37244.761099999974
1_13_2013-01-11,39260.2469
1_13_2013-01-18,36629.47009999998
1_13_2013-01-25,35829.359199999955
1_13_2013-02-01,40758.23849999997
1_13_2013-02-08,43555.08210000002
1_13_2013-02-15,42808.676000000036
1_13_2013-02-22,43095.03060000001
1_13_2013-03-01,38946.41510000001
1_13_2013-03-08,36634.20850000001
1_13_2013-03-15,37736.43010000001
1_13_2013-03-22,41204.894499999966
1_13_2013-03-29,39363.44440000001
1_13_2013-04-05,40795.56800000003
1_13_2013-04-12,38070.413599999985
1_13_2013-04-19,37585.56490000003
1_13_2013-04-26,37780.27269999994
1_13_2013-05-03,36736.29549999998
1_13_2013-05-10,39769.45739999999
1_13_2013-05-17,43433.04659999996
1_13_2013-05-24,40034.12639999997
1_13_2013-05-31,36797.385799999945
1_13_2013-06-07,39346.52920000001
1_13_2013-06-14,41374.657699999974
1_13_2013-06-21,41460.80709999996
1_13_2013-06-28,40257.21839999999
1_13_2013-07-05,41065.338099999964
1_13_2013-07-12,39620.31999999998
1_13_2013-07-19,39637.85049999996
1_13_2013-07-26,39204.48290000004
1_14_2012-11-02,14360.255300000003
1_14_2012-11-09,16406.906000000006
1_14_2012-11-16,17680.6148
1_14_2012-11-23,37044.979400000004
1_14_2012-11-30,19670.56399999999
1_14_2012-12-07,26663.55860000002
1_14_2012-12-14,27887.10030000003
1_14_2012-12-21,36389.441200000045
1_14_2012-12-28,26564.58080000001
1_14_2013-01-04,13713.790099999998
1_14_2013-01-11,14574.943299999986
1_14_2013-01-18,12708.530599999996
1_14_2013-01-25,13197.813300000007
1_14_2013-02-01,16923.179200000028
1_14_2013-02-08,18319.940299999995
1_14_2013-02-15,17651.78930000001
1_14_2013-02-22,17209.47930000001
1_14_2013-03-01,17427.45870000002
1_14_2013-03-08,14409.9084
1_14_2013-03-15,13738.67230000001
1_14_2013-03-22,15240.493600000013
1_14_2013-03-29,15098.911499999998
1_14_2013-04-05,15681.69560000001
1_14_2013-04-12,14354.676200000004
1_14_2013-04-19,13208.729899999998
1_14_2013-04-26,14011.331600000012
1_14_2013-05-03,13892.978699999996
1_14_2013-05-10,16505.708299999995
1_14_2013-05-17,16187.986199999994
1_14_2013-05-24,14488.633299999998
1_14_2013-05-31,13210.719900000004
1_14_2013-06-07,14080.508099999994
1_14_2013-06-14,15256.398699999994
1_14_2013-06-21,14907.891800000001
1_14_2013-06-28,14334.945899999999
1_14_2013-07-05,15440.559499999996
1_14_2013-07-12,14351.65239999998
1_14_2013-07-19,15027.500400000004
1_14_2013-07-26,13087.7363
1_16_2012-11-02,6430.003200000003
1_16_2012-11-09,5901.727300000007
1_16_2012-11-16,5759.449900000003
1_16_2012-11-23,7882.211899999987
1_16_2012-11-30,6044.3153
1_16_2012-12-07,7191.104400000004
1_16_2012-12-14,5504.412500000006
1_16_2012-12-21,6185.802899999999
1_16_2012-12-28,5082.7752000000055
1_16_2013-01-04,5952.956199999995
1_16_2013-01-11,6335.682799999994
1_16_2013-01-18,6092.509199999997
1_16_2013-01-25,6434.873499999998
1_16_2013-02-01,14237.076400000005
1_16_2013-02-08,13276.1096
1_16_2013-02-15,12615.471000000003
1_16_2013-02-22,12209.014799999999
1_16_2013-03-01,21006.598600000027
1_16_2013-03-08,25034.10340000002
1_16_2013-03-15,37645.22699999997
1_16_2013-03-22,45771.02679999997
1_16_2013-03-29,25244.062100000014
1_16_2013-04-05,44630.98310000001
1_16_2013-04-12,48381.32840000002
1_16_2013-04-19,52625.36780000004
1_16_2013-04-26,44897.48779999998
1_16_2013-05-03,37532.10609999993
1_16_2013-05-10,39079.727199999965
1_16_2013-05-17,45035.90459999997
1_16_2013-05-24,42491.41139999995
1_16_2013-05-31,40698.76499999992
1_16_2013-06-07,34496.47490000005
1_16_2013-06-14,35476.05610000007
1_16_2013-06-21,48106.895899999974
1_16_2013-06-28,36071.25590000006
1_16_2013-07-05,37005.24640000004
1_16_2013-07-12,31220.392100000012
1_16_2013-07-19,36389.65570000003
1_16_2013-07-26,25841.76009999999
1_17_2012-11-02,7973.6053000000065
1_17_2012-11-09,8139.98070000001
1_17_2012-11-16,9331.637000000004
1_17_2012-11-23,12087.473099999997
1_17_2012-11-30,10101.139800000004
1_17_2012-12-07,11708.368899999992
1_17_2012-12-14,12502.027600000005
1_17_2012-12-21,14596.654899999996
1_17_2012-12-28,11060.255099999995
1_17_2013-01-04,8608.864300000012
1_17_2013-01-11,8715.54080000001
1_17_2013-01-18,8452.139800000004
1_17_2013-01-25,7627.408
1_17_2013-02-01,10549.38409999999
1_17_2013-02-08,10243.594899999982
1_17_2013-02-15,9280.876599999987
1_17_2013-02-22,9894.26549999999
1_17_2013-03-01,11267.481300000001
1_17_2013-03-08,9842.011800000002
1_17_2013-03-15,10523.72250000001
1_17_2013-03-22,9456.570100000006
1_17_2013-03-29,9876.8411
1_17_2013-04-05,8752.334899999996
1_17_2013-04-12,9215.227399999994
1_17_2013-04-19,8292.153400000012
1_17_2013-04-26,9802.598800000009
1_17_2013-05-03,8420.000000000002
1_17_2013-05-10,9540.88359999999
1_17_2013-05-17,8654.254400000005
1_17_2013-05-24,7985.257600000007
1_17_2013-05-31,7340.278100000008
1_17_2013-06-07,8654.534799999996
1_17_2013-06-14,8531.633799999996
1_17_2013-06-21,8451.262300000004
1_17_2013-06-28,8318.736299999997
1_17_2013-07-05,7714.489699999998
1_17_2013-07-12,7686.254900000001
1_17_2013-07-19,8119.578300000001
1_17_2013-07-26,8954.732500000004
1_18_2012-11-02,12191.8831
1_18_2012-11-09,11711.488300000003
1_18_2012-11-16,14131.147999999996
1_18_2012-11-23,30391.124099999997
1_18_2012-11-30,14644.269299999996
1_18_2012-12-07,38239.13189999999
1_18_2012-12-14,39431.14129999999
1_18_2012-12-21,28080.0065
1_18_2012-12-28,21191.156299999988
1_18_2013-01-04,7484.2440999999935
1_18_2013-01-11,5589.528099999999
1_18_2013-01-18,2056.2296
1_18_2013-01-25,1945.5720999999996
1_18_2013-02-01,11681.678699999997
1_18_2013-02-08,12327.328499999987
1_18_2013-02-15,9366.286699999999
1_18_2013-02-22,5995.071599999997
1_18_2013-03-01,2293.490399999999
1_18_2013-03-08,2411.7404000000006
1_18_2013-03-15,1968.8458999999996
1_18_2013-03-22,2106.3412000000017
1_18_2013-03-29,2826.8496999999998
1_18_2013-04-05,2326.013999999998
1_18_2013-04-12,11516.7176
1_18_2013-04-19,1612.9899999999986
1_18_2013-04-26,2124.4875999999967
1_18_2013-05-03,448.82080000000065
1_18_2013-05-10,1146.7545999999995
1_18_2013-05-17,2228.6114999999986
1_18_2013-05-24,940.9906500000011
1_18_2013-06-07,429.24880000000053
1_18_2013-07-05,1800.0482999999992
1_19_2012-11-02,914.0356000000007
1_19_2012-11-09,925.9199000000012
1_19_2012-11-16,1015.1427000000004
1_19_2012-11-23,966.8047999999997
1_19_2012-11-30,1243.5459999999998
1_19_2012-12-07,1297.7141999999994
1_19_2012-12-14,1653.3050999999996
1_19_2012-12-21,1369.7156999999997
1_19_2012-12-28,905.5304000000003
1_19_2013-01-04,715.5955000000006
1_19_2013-01-11,677.7817000000007
1_19_2013-01-18,766.5060000000002
1_19_2013-01-25,738.5890000000009
1_19_2013-02-01,1002.1364999999998
1_19_2013-02-08,1087.8029999999992
1_19_2013-02-15,1018.1585999999992
1_19_2013-02-22,1016.3331999999998
1_19_2013-03-01,1262.662899999999
1_19_2013-03-08,1241.3134999999993
1_19_2013-03-15,1329.2974999999988
1_19_2013-03-22,1106.6162999999995
1_19_2013-03-29,1340.105499999999
1_19_2013-04-05,1049.289899999999
1_19_2013-04-12,1093.5937999999996
1_19_2013-04-19,1100.4013999999997
1_19_2013-04-26,1103.6661999999985
1_19_2013-05-03,1123.6904999999992
1_19_2013-05-10,1037.4613
1_19_2013-05-17,982.2566999999996
1_19_2013-05-24,1031.7745999999993
1_19_2013-05-31,1119.2829
1_19_2013-06-07,1099.5006
1_19_2013-06-14,1043.6810999999998
1_19_2013-06-21,965.8726999999989
1_19_2013-06-28,1035.7248000000004
1_19_2013-07-05,937.6620000000001
1_19_2013-07-12,1018.2645000000002
1_19_2013-07-19,1052.3106
1_19_2013-07-26,1135.1573000000003
1_20_2012-11-02,3324.5833
1_20_2012-11-09,3113.715500000002
1_20_2012-11-16,3163.1696000000006
1_20_2012-11-23,5284.143500000003
1_20_2012-11-30,3570.1007000000022
1_20_2012-12-07,3678.4941000000017
1_20_2012-12-14,3909.180000000003
1_20_2012-12-21,4062.622999999997
1_20_2012-12-28,4047.7099000000053
1_20_2013-01-04,3775.2705
1_20_2013-01-11,4043.1013000000034
1_20_2013-01-18,3866.759400000002
1_20_2013-01-25,3535.6759999999977
1_20_2013-02-01,4956.964499999993
1_20_2013-02-08,5127.562899999999
1_20_2013-02-15,4913.629499999995
1_20_2013-02-22,5239.640399999995
1_20_2013-03-01,5915.6592
1_20_2013-03-08,4676.7779000000055
1_20_2013-03-15,5197.359799999995
1_20_2013-03-22,5471.008899999997
1_20_2013-03-29,5906.115199999999
1_20_2013-04-05,5140.708800000005
1_20_2013-04-12,3919.961600000001
1_20_2013-04-19,3899.972500000003
1_20_2013-04-26,3865.2314999999967
1_20_2013-05-03,3971.211200000007
1_20_2013-05-10,4217.501500000002
1_20_2013-05-17,4388.547800000005
1_20_2013-05-24,4473.452399999999
1_20_2013-05-31,4950.7213999999985
1_20_2013-06-07,4332.522900000001
1_20_2013-06-14,4885.148999999998
1_20_2013-06-21,5675.962299999997
1_20_2013-06-28,4738.6226000000015
1_20_2013-07-05,5066.859399999996
1_20_2013-07-12,4836.814700000002
1_20_2013-07-19,4981.043199999995
1_20_2013-07-26,4792.015300000007
1_21_2012-11-02,8621.859400000003
1_21_2012-11-09,8783.832300000002
1_21_2012-11-16,8052.236200000006
1_21_2012-11-23,9742.049200000009
1_21_2012-11-30,8069.253100000005
